"1","10 x 9","90","90"
"2","7 + 10","17","17"
"3","2 x 0","0","0"
"4","9 - 6","3","3"
"5","0 - 7","-7","-7"
"6","8 - 8","0","0"
"7","8 + 9","17","17"
"8","3 + 4","7","7"
"9","6 x 7","42","42"
"10","5 + 5","10","10"
